Role,Message,Images/ Voice Messages/ etc,Channel,Event Marker,Date of message,Notes
Lead,"Emphasized “Dang, I’m sorry to hear that. Sucks when apartment…”",,,,,
Lead,"Loved “Okay that’s good, let me know if there’s anything …”",,,,,
Lead,"will do , thank you again !",,,,,
Agent,"Loved “will do , thank you again ! ”",,,,,
Agent,Pleasure is mine!,,,,,
Agent,Hey good afternoon Courtney. Wanted to follow up and make sure you’re still all on track. Any questions you need answered for the apts you’re choosing between?,,,,,
Lead,"good afternoon , so i’m actually back at square one lol. the person i room with doesn’t want me to “have the better room” 😂 a joke i know right ? but modera was the choice but since the space is uneven we’ll be looking some more.",,,,,
Lead,but honestly this has become annoying so i just might be going with plan b of what i wanted to do originally which was solo.,,,,,
Lead,i feel like i’ve wasted your time. so i do apologize!,,,,,
Agent,"Lol oh no! Not a problem though, do you want to start looking for both? 2 beds for the both of you and 1 bedrooms for yourself?
 
 Oh don’t even think about that lol. So much can happen when looking for apartments. I’m just here to try and find the best place for w.e the circumstances are",,,,,
Lead,"we could , i was looking at timbergrove again. 
 
 i truly appreciate your help. i hate to be so negative it’s just been overwhelming and i have a lot on my plate rn. ive only been out here a year so it would make sense to stay a pair but for all this i can’t with the unnecessary combat. i don’t mind compromising tho.",,,,,
Lead,i’ll look at your list again and see.,,,,,
Agent,"Okay. I’ll take another look today & tomorrow. I’m sorry, definitely can be so overwhelming",,,,,
Agent,"Okay, what budget do you want to stay under if you’re solo?",,,,,
Lead,Loved “Okay. I’ll take another look today & tomorrow. I’m…”,,,,,
Lead,mmmm for the areas i’ve been looking in what do the prices of one beds or studios range from ?,,,,,
Lead,maybe $1200-1300,,,,,
Lead,but i feel like that’s low,,,,,
Agent,It depends. So you’re open to studios as well? How big do you need the apartment to be?,,,,,
Agent,At that price you might be eligible for some of the income restricted apartments in the city which can be brand new. Whats your monthly gross income?,,,,,
Lead,yeah timbergrove had a nice studio when i was there that’s def an option. it was almost like a one bedroom in my opinion,,,,,
Lead,let me look at the #s hold on,,,,,
Lead,okay my monthly gross is about $2300,,,,,
Lead,i have seen some nice essential housing options,,,,,
Agent,Okay. I’ll have to look into it. Essential housing will still require that you make 2.5x or 3x the rent so the most you’d get approved for alone is around $900,,,,,
Agent,"Hey Courtney, I haven’t come across essential housing options you’d be approved for on your own. Are you still thinking about moving solo?",,,,,
,,,,,,
,,,,,,
,,,,,,
Agent,"Hey Breona, It’s Ashanti with Apt Amigo. Thanks for submitting your form, I’m happy to help you find your next apartment!
 
 What areas/neighborhoods are you looking to live?",,,,,
Lead,Um I just wanted to know the name of that apartment complex you posted,,,,,
Agent,So not looking to move? Are you window shopping for a future date?,,,,,
Lead,Well my lease ends in November so I’m trying to weigh my options I really liked that one so I wanted to look at reviews,,,,,
Lead,If you don’t want to give me the name of the complex it’s fine lol just wondering,,,,,
Agent,,Audio Message.caf,,,,
Lead,,Audio Message.caf,,,,
Agent,Loved an audio message,,,,,
Agent,Sounds good!,,,,,
Lead,"Hi Ashanti, hope all is well with you. My lease ends November 30th, I’m looking for a 1 bed 1 bath, potentially 1 bed room with a den , and what matters most to me is how it looks, I like a modern look tbh. I like black cabinet handles, black door knobs, I like the black and white look. Definitely need a double sided fridge, balcony, stand up shower, with a tub attached (if possible) .. I like quiet areas like Katy, woodlands, cypress etc but I wouldn’t mind trying something new as long as the apartment doesn’t have bug infestations, a lot of breaking in cars, etc. (preferably a gated community or a community with a garage) my price range is 1400-1700$ I’m also willing to compromise just depends on what",,,,,
Lead,"I’m currently at Lenox grand west in Katy which I love so very much, I’m trying to weigh my options to see if there’s something better for what I’m paying so I can know if I want to renew or move",,,,,
Lead,https://www.instagram.com/reel/C-nlYDlOTQ6/?igsh=MXMxcDU4ZHJzd243dg==,,,,,
Agent,"Hey Breona, thanks for all the info. I gotcha, I’ll send over some options in a bit. What are you paying now so I can beat the price? And how many sqft is your unit now for reference, I’ll try and beat that too",,,,,
Agent,…and the post is Drewery Place,,,,,
Lead,I’m paying 1634$ 861sqft,,,,,
Lead,With one month free so I’m technically paying 1500$ plus utilities and pet rent which all equals 1605$ a month,,,,,
Agent,"Got you! I just emailed your list
 
 Some require me to escort you to get credit + a lot of the properties require your Locator to set up your appt - so please let me take care of all scheduling 👍🏽
 
 Let me know the top 3-5 you want to tour ideally in the next 48 hours and I’ll start to schedule them for you!",,,,,
Agent,"Also you’ll be getting a $200 cash rebate or free move (your choice). 
 
 And I can only do that if you list me as your referral correctly when you tour and apply - If you know what to look for at time of application, that’s perfect. If not, just reach out before you start an app and I’ll guide you",,,,,
Agent,,Audio Message.caf,,,,
Lead,"thanks ashanti, you’ve been great. I’ll look these over and pick out 2-3 favorites of mines so we can tour & I’ll follow up with you around the end of September",,,,,
Agent,"Loved “thanks ashanti, you’ve been great. I’ll look these…”",,,,,
Agent,Happy to help! Okay sounds perfect,,,,,
Agent,"Hey Breona, wanted to make sure you’re all good for now. Are we still planning to get started at the end of the month?",,,,,
Agent,"Questioned “Hey Breona, wanted to make sure you’re all good fo…”",,,,,
Agent,,Audio Message.caf,,,,
Lead,Hi Ashanti I’m sorry for going MIA. I decided that I’m just going to renew my lease where I’m currently staying. I looked over some different apartments and I think I just prefer my complex for the price of what I’m getting. I’m sorry again for wasting your time also,,,,,
Agent,"No worries. Sounds great, as long as you’re making the best choice for you I’m all for it! Take good care 🙂",,,,,
Lead,"Loved “No worries. Sounds great, as long as you’re making…”",,,,,
Lead,"I appreciate you, I know who to come to if I need help in the future 😊",,,,,
Agent,"Loved “I appreciate you, I know who to come to if I need …”",,,,,
,,,,,,
,,,,,,
,,,,,,
Agent,"Hey Ashley, it's Ashanti. Here now, I'll FT you in a second when I'm in the first unit",,,,,
Lead,Yay okay,,,,,
Lead,,IMG_8083.heic,,,,
Agent,,IMG_0144.PNG,,,,
Lead,B22 floor plan fav,,,,,
Agent,,IMG_0145.HEIC,,,,
Agent,,73834906017__9C10AC82-18FC-432A-AE82-5AEA12CBA281.HEIC,,,,
Agent,,73834916631__5BCF95B5-E7AE-4057-82A8-B8137F797790.HEIC,,,,
Agent,"Hey Ashley, wanted to checking in quick to make sure all is good. Did y’all decide on the floor plan you’re going to go with?",,,,,
Lead,Hey Ashanti! We went with 2514,,,,,
Agent,"Nice!! Let me know if I can do anything to help any communication with the office… And when you get a chance could you please send me these details for my company to link the referral to The Margaret?
 
 -Names of all lease holders
 -Move in date
 -Lease term 
 -Base rent amount",,,,,
Lead,Okay I’m in a meeting and I’ll knock it out after.,,,,,
Agent,"Perfect, thanks!",,,,,
Lead,"We are waiting for the leasing agent to tell us she she will have a keys to the apartments in building two. 
 
 Justin and Ashley Ross
 Move in date July 29, 2024
 Lease Term 13 months
 Base Rent: $2,530",,,,,
Agent,Loved “We are waiting for the leasing agent to tell us sh…”,,,,,
Agent,"Thanks. Okay, definitely before the move in. Not sure they can release keys before your move date because of liability, but let me know if you need help sorting it out",,,,,
Lead,No no she was just getting keys for her to walk through the exact unit for us.,,,,,
Agent,"Oh oh, I see!",,,,,
Agent,Hey Ashley! Just wanted to check in and see that you all made it and moved in safe and smoothly?,,,,,
Lead,Hey! I thought about you last week. Yes we are all moved in. Just wrapped up with maintenance. the new building which we are in is definitely “kinda ready” but it’s been nice to be just the second of three people here.,,,,,
Lead,"I’d love to stay connected, if for nothing else my design business and building a community of adjacent businesses I can tap into and vice versa",,,,,
Agent,Loved “Hey! I thought about you last week. Yes we are all…”,,,,,
Agent,That’s perfect! Definitely enjoy the peace of no neighbors while you have it.,,,,,
Agent,"And of course, I’d love to stay connected. Remember I’m in Houston, but I have some ties to Dallas. If I can be involved to build community, I’d be happy to!",,,,,
Lead,Laughed at “That’s perfect! Definitely enjoy the peace of no n…”,,,,,
Lead,https://www.instagram.com/muse.noire.interiors?igsh=MXUyYTRoczN4ZXlzaw==,,,,,
Lead,"Perfect. My hope would be to design across Texas. 
 
 Here’s the firm information",,,,,
Agent,"Perfect, just followed!",,,,,
Agent,Hey Ashley! I hope all is well. How has the living experience been since move in?,,,,,
Lead,"Here I come mad late lol what’s going on Ashanti! Hope you’re well. The building is solid. Couple hiccups but nothing crazy. 
 
 J and I are getting a divorce so I’m actually entertaining other apatin the area around 2bds top floor under the $2,600 rate we currently have",,,,,
Agent,"Lol it’s okay. Thank you, I hope you are too. Okay, happy to hear it’s been altogether well. 
 
 I’m sorry to hear about you and J. Is a move imminent or just a thought for now?",,,,,
Lead,"Imminent, just spoke with the leasing office to ask if I moved to a smaller unit would that be me breaking the lease.",,,,,
Lead,"They said yes. So now I’m curious about other places in the area. 
 
 Thanks, but I’m not sorry.",,,,,
Agent,"Okay, no worries. So you’re looking for 2 bedrooms top floor in the same area? What budget do you need to stay under?",,,,,
Lead,"I’d love to stay under 2,300",,,,,
Agent,"Okay got it. Will J be keeping the current apartment to avoid the broken lease? That’s always a concern of mine, because broken leases can be a lot more impactful in the future than many realize",,,,,
Lead,"Honestly he doesn’t know I’m apartment searching. And I’d like to keep it that way. If I stay in the building I’d want him to leave. 
 
 If I leave the building he’s likely stay.",,,,,
Agent,"Okay, no problem. Whats your email? I’ll start searching now and send you some options via email",,,,,
Lead,Trybiancaplease@gmail.com,,,,,
Agent,Liked “Trybiancaplease@gmail.com”,,,,,
Agent,"Just emailed you some options
 
 Most of the properties require your Locator to set up your appt - so please let me take care of all scheduling. 
 
 Let me know which you want to tour ideally in the next 24-48 hours and I’ll set them up for a time convenient for you",,,,,
Lead,Okay thank you boss,,,,,
Agent,Pleasure is mine,,,,,
Lead,Morning! I’m going to go into an another unit in the building. How do I give you locator credit?,,,,,
