Role,Message,Images/ Voice Messages/ etc,Channel,Event Marker,Date of message,Notes
Agent,"Hey Lauren! Sorry, today was a heavy travel day. Thank you for the info! 

For your $200 rebate, you’ll be paid via Zelle using the number we have on file. You’ll be paid when the property pays and the same day as me. That’s generally 60-90 days from move-in so usually a nice surprise. I’ll still be here to help anyway I can so if you have any questions or concerns never hesitate to reach out!",,,,,
Lead,Loved Message,,,,,
,,,,,,
,,,,,,
,,,,,,
Agent,"Hey Dominik, it’s Ashanti with Apt Amigo. Thanks for submitting your form! I’m happy to help you find your next apartment and share any post info from my Instagram page. 
 
What areas/neighborhoods are you considering?",,,,,
Lead,"Hey Ashanti. 
I’m looking at sugarland thus far, the company I’m transferring to is located at 
12941 Cullen Blvd
Houston, TX  77047
United States
My only requirements are:
Garage , dog friendly (I have an ESA that’s a pitbull but I rather just deal w it) , hoping for under 30 minute commute to work, preferably in an area with a younger crowd. 

Hope that helps man",,,,,
Agent,Got it! Thanks for the info. How soon are you looking to move in? Are you moving from another city or already in Houston or surrounding areas?,,,,,
Lead,"I’m trying to be in Houston by the 5th or March roughly. I should be starting worn the 10th of March 

I’m currently living in Nashville though so I am not there",,,,,
Agent,"Okay got it, so sounds like you’ll be deciding using virtual tours only. Is $1500 flexible at all or do you want that to be absolute max?",,,,,
Lead,"1500 is the preferable max, it can be pushed depending on location and amenities though. ",,,,,
Agent,"Got it, I’ll send you some options shortly and we’ll start getting some virtual tours scheduled",,,,,
Lead,"Awesome, thanks man!",,,,,
Agent,Pleasure is mine!,,,,,
Agent,"Just emailed your list
 
Some require me to escort you to get credit + a lot of the properties require your Locator to set up your appt - so please let me take care of all scheduling 👍🏽

Let me know the top 3-5 you want to virtually tour ideally in the next 24-48 hours and I’ll set them up!",,,,,
Agent,"Also you’ll be getting a $200 cash rebate or free move (your choice). 

I’m able to do that when I’m listed as your referral correctly when you tour and apply - If you know what to look for at time of application, that’s perfect. If not, just reach out before you start any application and I’ll guide you!",,,,,
Lead,What do you mean by a free move? I’m not tracking ,,,,,
Agent,"The free move is a free 2 hour move. Honestly, I’d recommend the $200 rebate because the move never turns out to be free. You’ll still need to pay a move deposit and you just don’t get the full value. The $200 rebate is cash sent via Zelle and paid out the same day I’m paid out.",,,,,
Lead,"Understood, I’d most likely go with that. 
If you don’t mind me asking, what do you ask for the finders fee or your “cut” per se?",,,,,
Agent,Okay. Nothing at all. I work with the buildings in the city and get paid from the building you choose out of their marketing budget. It’s free for you. ,,,,,
Lead,"Oh awesome, I’m up in NYC visiting fam today so give me till mid day tomorrow and I’ll send you pack my top 3 if that works with you",,,,,
Agent,That works perfectly! Talk to you tomorrow,,,,,
Lead,"Hey man!
So I narrowed it down to 4, I don’t know if you can see my favorited apartments on the account created so if you need me to list them off let me know!",,,,,
Agent,Got you! Yes I can see them. I’ll start getting virtual tours together this week!,,,,,
Lead,"Awesome! 
Also, just to clarify. They do all have garages correct? I’ll be needing it for storage & parking my personal & company vehicle that’s why I ask. ",,,,,
Agent,"Filament at the Grid and Lenox at the grid have private garages. You don’t normally see private garages at apartments in the inner city so Lenox Oaks doesn’t, but they have a private multi-level parking garage and you can rent a designated space. Plus they have storage units on site. 1879 is the only property without either. They were built in 2019 compared to 2023 and newer for the other three options anyway so I think you’d probably prefer them least. ",,,,,
Lead,Okay so let’s just focus on Filament and Lenox then! That makes this easier ,,,,,
Agent,Okay sounds good! I’ll follow up in the next couple days,,,,,
Agent,"Good morning Dominik. For Filament and Lenox they both have virtual tours on their website and the 1 bedrooms shown would be the exact one bed rooms we’d be looking at in your price range. 

On the Home Screen click “Virtual Tours” and look at the A1/1bed. There is also virtual tours of all amenities ",,,,,
Agent,filamentatthegrid.com,,,,,
Agent,lenoxatthegrid.com,,,,,
Agent,,Audio Message,,,,
Lead,"Good morning Ashanti! 
Filament seems as if they have slightly larger sq.ft so that’s something to consider. Honestly, the dealbreaker at this point is the garages with pricing. Let me know and we’ll work further! Thank you ",,,,,
Agent,"Okay! I just spoke to them both and Filaments 1 car garages are $175 per month. 2 car garages are $250. 
Lenox said they don’t offer private garages anymore. I’m not sure if they turned them into storage or what but no garage options there",,,,,
Lead,"Sounds good! Filament is the one then. 
Do you possibly have a layout of the garage there? Just wanted to see the size ",,,,,
Agent,Sounds perfect! Let me see if the office can send some video/pictures ,,,,,
Agent,Only one leasing agent in the office today. When he gets a chance he’s going to get some pics for us. I’ll send them over when he sends them,,,,,
Lead,Sounds good ,,,,,
Agent,,Video,,,,
Agent,,Video,,,,
Agent,"Here you go Dominik, let me know your thoughts ",,,,,
Lead,Is that a parking spot outside of it as well? ,,,,,
Agent,Yes there’s a space to park outside of the garage as well. Essentially you could park 2 cars ,,,,,
Lead,Perfect. Let’s do it ,,,,,
Agent,"Okay great, so now we need to figure out what unit you want to apply to. Some units are on special for 4 weeks free and some aren’t. So we want to figure out that and maybe coordinate a unit that is closer to an available garage. Let me see what details I can get before they close in a few minutes",,,,,
Agent,Do you have a floorplan preferences from the website?,,,,,
Lead,"Their A2.0 would probably be preferred, I’m open to seeing what’s available closest to the garage though ",,,,,
Lead,"Hey Ashanti, sorry to text you late/on a Saturday. Can we possibly move the date up on me having the apartment signed for to sometime next week with the tentative move in date by the 3rd of March? Let me know if that works.",,,,,
Agent,"Hey Dominik, it’s no bother. I didn’t even realize you texted back yesterday so that’s my bad. But yes that’s no problem. They open tomorrow at 12pm CST. I’ll call to get our A2.0 options and see which are closest to an available garage. We’ll push to have all the info we need and apply tomorrow.",,,,,
Lead,No worries! Like I said I’m open to others if there’s a better location to the garage or whatever it may be. Can you also see if they wave any fees or reduce rent for veterans? Completely forgot to even ask that ,,,,,
Agent,Got it! And I’ll check on that for you. I’ll follow up tomorrow once I talk to them,,,,,
Agent,"Hey Dominik, here’s the info you’ll need! Let me know if you have any questions and which unit you’ll be applying to 👍🏼",,,,,
Agent,"*First number of 4-digits is the building number (Ex. 1234 would be building 1)

*Second number of 4-digits is the floor number (Ex. 1234 would be 2nd floor)

*Building 1 is the only building with elevators & has No available garages

*Buildings 2,3,4,5 Do not have elevators but they all have available garages

A2 - Would be more your standard unit with equal space around 

A4 (Any units starting with A4) - You get a built-in desk & double sink vanity. Lose a little space in living room 


A2.0 - 732 sqft 
#3304 - $1435 
#3306 - $1435
#2112 - $1450 


A4.50 - 739 sqft 
#4204 - $1445 
#4304 - $1445
#5204 - $1445
#5212 - $1445
#5304 - $1445


A4.4 - 752 sqft 
#3308 - $1475
#2308 - $1475


A4.2 ANSI - 754 sqft 
#1215 - $1475 

All of these units under $1500 are already reduced price so you won’t get any weeks free. But if you select a move in for this month February 28 you will receive $500 credit to use toward March. 

Veteran discount - They could possibly credit you back your application & Admin Fee but leasing agent (Heidi) would need to wait until management is back in the office tomorrow to ask.",,,,,
Lead,"Awesome, I’ll look into it here in a bit since I’m currently out at lunch. 
Question for you, I didn’t realize Stafford has such a “bad” reputation. Do you agree with it or is it an area that’s growing? I don’t want to move somewhere where I have to look over my shoulder 24/7 if that makes any sense.",,,,,
Agent,Sounds perfect. I haven’t been told of a bad reputation for Stafford. Here is a crime map for 2025 of the full city. ,,,,,
Agent,https://communitycrimemap.com/,,,,,
Lead,Okay I looked I’m still good with Filament. I was looking at the apartment layouts and is there any way you can ask the team there to check with which apartment would have the best view of the garage available by chance? That way I can see everything. Or is that not an option? ,,,,,
Lead,Sorry about having you ask them a million things 😂 moving blindly isn’t ideal ,,,,,
Agent,"Okay. No unfortunately there’s really no way to see the garage from your unit. The garages would enter the first floor of your building and the buildings are spaced out and aside of each other, not across. 

I get it! I’ve never moved blindly but lots of my clients have and I get all kinds of questions to make sure they move in comfortably with all questions answered so I get it for sure.",,,,,
Lead,Alright no worries! Realistically 3304 and 3306 are my top two. ,,,,,
Agent,Okay! Do you want to get started on the application? I think you should try to set move in for Feb 28 instead of March 3 so you can get the $500 credit,,,,,
Lead,Yeah let’s go ahead and do that then ,,,,,
Agent,"Okay, it’s done right on the website. 3304 and 3306 are literally next door to each other so wouldn’t make the biggest difference. 

Please be on the lookout for the referral section of the app and choose [Apartment Locator & Ashanti DePass with AptAmigo] as your referral where applicable. 

Let me know if you have any questions and when you’ve submitted!",,,,,
Lead,"I’m filling it out currently, but I just saw that my dogs breed is on the restricted list. He’s considered an ESA, but I wasn’t sure if I should just delete his info then or what ",,,,,
Agent,"There should be an area to mention he’s an ESA so you’d be exempt from any breed restrictions, pet fees, etc. ",,,,,
Agent,If you don’t see it you can keep his info off to prevent any automatic denial and send it to the leasing agent who takes over your file after ,,,,,
Lead,"Ok, I didn’t see anything so I’ll leave it off for the time being ",,,,,
Agent,"Hey Dominik, all good for now?",,,,,
Lead,"Yessir, just waiting on my ESA letter to be approved so they can send me the lease info. I mentioned to them on the phone and through their paperwork you helped me with the process. 

They said this morning it’ll be approved today or tomorrow latest. We’ll see",,,,,
Agent,Sounds perfect 👌🏼 I’m around if you need. Let me know when they give you the final approval!,,,,,
